 ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO,AUDIENCIA,
11110659,"2020, año galdosiano, madrileño y novelesco","","1","1","M","","2020-01-21 00:00:00.0","2020-04-07 23:59:00.0","","A las 19 horas y en las fechas abajo indicadas.   Entrada libre hasta completar aforo. Con motivo de centenario de la muerte de D. Benito Pérez Galdós, Instituto de EstudiosMadrileños ha organizado un ciclo de conferencias en las que trataremos de seguir su huellaen la ciudad de Madrid.  Se impartirán doce conferencias con las que se nos brinda la oportunidad de explorar distintosaspectos de la vida del inmortal escritor.  Contando con el esfuerzo de nuestros miembros numerarios se dará una completa visión delGaldós periodista o político y su vinculación municipal, así como su proceso de madrileñización,las condiciones editoriales de su producción literaria o cómo era el Madrid contemporáneo y porsupuesto su faceta de Cronista de la Villa. Se hablará de algunas de sus obras literarias comoFortunata y Jacinta y el Madrid que hemos podido contemplar en las versiones televisivas de susnovelas. Veremos un Galdós lector entusiasta de Cervantes y haremos una visita a su biblioteca,y una lectura de sus cartas para terminar reflexionando ¿Por qué nos gusta tanto Galdós?  Todas las conferencias serán publicadas y formarán parte del tomo LII de la colección'Biblioteca de Estudios Madrileños' tal como viene haciendo el Instituto desde 1966.  1. Galdós Periodista. 21/01/2020 Pedro Montoliú Camps Periodista y Cronista de la Villa. Miembro Numerario del IEM.   2. Galdós en su periodismo de viajes. 28/01/2020 Leonardo Romero Tovar Catedrático de Literatura Española de la Universidad de Zaragoza. Miembro Numerario del IEM.   3. Lo municipal en la obra de Galdós. 04/02/2020 Carmen Cayetano Martín Licenciada en Filosofía y Letras. Del Cuerpo de archiveros, bibliotecarios y arqueólogos del Ayuntamiento de Madrid. Miembro numerario del IEM.   4. Galdos: fuentes de su proceso de madrileñización. 11/02/2020 Eduardo Huertas Vázquez Doctor en Filosofía, Licenciado en Derecho y en Ciencias de la Información. Miembro Numerario del IEM.  5. Un microcosmos: el Madrid galdosiano de Fortunata y Jacinta. 18/02/2020 Pedro Carrero Eras Profesor de Literatura Española de la Universidad de Alcalá de Henares. Miembro Numerario del IEM.  6. El Madrid contemporáneo de Galdós. Una ciudad en proceso de transformación y de expansión. 25/02/2020 Manuel Valenzuela Rubio. Catedrático emérito de Geografía Humana de la Universidad Autónoma de Madrid. Miembro Numerario del IEM.  7. Benito Pérez Galdós político. 03/03/2020 Mª Teresa Fernández Talaya Doctora en Historia del Arte. Presidenta del Instituto de Estudios Madrileños.   8. Galdós, lector entusiasta de Cervantes: una visita a su biblioteca, una lectura de sus cartas. 10/03/2020 José Manuel Lucía Mejías Catedrático de Filología Románica. Miembro Numerario del IEM  9. D. Benito Pérez Galdós, vecino y cronista de Madrid. 17/03/2020 Luis Miguel Aparisi Laporta Correspondiente de la Real Academia de la Historia. Miembro Numerario del IEM.   10. El Madrid de Galdós a través de las versiones televisivas de sus novelas 24/03/2020 Julia Labrador Ben. Licenciada en Filología Hispánica. Miembro Numerario del IEM.   11. Las condiciones editoriales de la producción de Galdós. Editores, tiradas y ventas. 31/03/2020 Jesús Martínez Martín Catedrático de Historia Contemporánea de la Universidad Complutense de Madrid. Miembro Numerario del IEM.   12. ¿Por qué nos gusta tanto Galdós? 07/04/2020 Emilio del Río Sanz Doctor en Filología Clásica por la Universidad Complutense. Profesor Titular de Universidad. Director General de Bibliotecas, Archivos y Museos del Ayuntamiento de Madrid.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41154595dd6cf610VgnVCM1000001d4a900aRCRD","2020: Año galdosiano","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=797a62008f2cf610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=483f68540e41c010VgnVCM2000000c205a0aRCRD","Casa de La Villa. Ayuntamiento de Madrid","0","PLAZA","VILLA","5","CENTRO","PALACIO","28005","439711","4474084","40.41518829867041","-3.7106248754622504","/contenido/actividades/ConferenciasColoquios","",
11116166,"2020.1","","1","1","L,M,X,J,V,S,D","","2020-02-04 00:00:00.0","2020-02-25 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4720f2c8896ef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1087cbf06c81c010VgnVCM1000000b205a0aRCRD","Centro Sociocultural Cánovas del Castillo (Usera)","1","CALLE","JULIO AGUIRRE","10","USERA","ALMENDRALES","28026","440579","4470866","40.38626143332092","-3.7000825227295007","/contenido/actividades/Exposiciones","",
11116034,"500 años del nacimiento de Rafael de Sanzio","","1","0","","","2020-02-18 00:00:00.0","2020-02-18 23:59:00.0","18:30","Ciclos de conferencias 'Arte en Maestro Alonso'.  Impartidas por Patricia Alonso y Eva María Puig.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b55a369bb4ef610VgnVCM1000001d4a900aRCRD","Actividades en el Centro Sociocultural Maestro Alonso","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ba177b76dd60610VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=783f1e79ee71c010VgnVCM1000000b205a0aRCRD","Centro Sociocultural Maestro Alonso (Salamanca)","1","CALLE","MAESTRO ALONSO","6","SALAMANCA","FUENTE DEL BERRO","28028","443605","4475629","40.42938854032785","-3.664855511110751","/contenido/actividades/ConferenciasColoquios","",
11107997,"Actividad infantil año nuevo chino 2020","","1","0","","","2020-02-05 00:00:00.0","2020-02-05 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85578e8984eaf610VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d862492de8c8c510VgnVCM2000001f4a900aRCRD","Biblioteca Pública Municipal María Lejárraga (Hortaleza)","1,6","CALLE","PRINCESA DE EBOLI","29","HORTALEZA","VALDEFUENTES","28050","444461","4482397","40.49041562546542","-3.655356751728003","/contenido/actividades/CursosTalleres","/usuario/Niños",
11119001,"Acuarelas","","1","1","L,M,X,J,V,S","","2020-02-17 00:00:00.0","2020-02-28 23:59:00.0","","Exposición de pintura a cargo del grupo de acuarela, del Centro Socio Cultural Eduardo Chillida. Horarios: de lunes a viernes de 9.30 a 13.30 y de 16.00 a 21.30 h.  Sábados de 10.30 a 13.30 y de 16.00 a 21.30 h.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=47c9a10004cef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01963d0b5e71c010VgnVCM1000000b205a0aRCRD","Centro Sociocultural Eduardo Chillida (Moratalaz)","2","CALLE","ARROYO BELINCOSO","9","MORATALAZ","MEDIA LEGUA","28030","444577","4473403","40.40939173676513","-3.653214777359331","/contenido/actividades/Exposiciones","",
11118841,"Adios Srta. Ruth de Emily Williams","","1","0","","","2020-02-29 00:00:00.0","2020-02-29 23:59:00.0","19:00","Asociación Cultural El Cotarro Sinopsis: Ruth llega a una humilde localidad de Gales a final del XIX tras recibir una herencia. Tras conocer a sus habitantes, decide enseñar a leer a los jóvenes, lo que no resulta del agrado de los más pudientes del lugar. También encuentra algún apoyo que le permitirá descubrir un diamante en bruto que quiere llegar a los exámenes de Oxford?","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5ca455ceebef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD","Centro Cultural el Torito (Moratalaz)","1","AVENIDA","MORATALAZ","130","MORATALAZ","VINATEROS","28030","445141","4473033","40.40609591857167","-3.646536107063507","/contenido/actividades/TeatroPerformance","",
10944540,"AGENCIA_RV. Grupo de investigación y creación de narrativas en Realidad Virtual","","0","1","L","13/05/2019,27/05/2019,10/06/2019,24/06/2019,08/07/2019,22/07/2019,05/08/2019,12/08/2019,19/08/2019,26/08/2019,02/09/2019,16/09/2019,30/09/2019,14/10/2019,28/10/2019,11/11/2019,25/11/2019,09/12/2019,23/12/2019,30/12/2019,06/01/2020,20/01/2020,03/02/2020,17/02/2020,","2019-05-06 00:00:00.0","2020-02-10 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ce250cbb9d8a610VgnVCM1000001d4a900aRCRD","AGENCIA_RV. Grupo de investigación y creación de narrativas en Realidad Virtual","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e0f250cbb9d8a610VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79f59dacff4d7110VgnVCM1000000b205a0aRCRD","Medialab - Prado","1","CALLE","ALAMEDA","15","CENTRO","CORTES","28014","441135","4473558","40.410560776119","-3.6937931079230744","/contenido/actividades/CineActividadesAudiovisuales","",
11119057,"Agua y Nieve","","1","1","L,M,X,J,V,S","","2020-02-01 00:00:00.0","2020-02-15 23:59:00.0","","Exposición de pintura al óleo, a cargo del grupo de pintura V, del Centro Socio-cultural Eduardo Chillida.  Horarios: de lunes a viernes, de 09.30 a 13.30 y de 16.00 a 21.30 h. Sábados, de 10.30 a 13.30 y de 16.00 a 21.30 h.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b042a10004cef610VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01963d0b5e71c010VgnVCM1000000b205a0aRCRD","Centro Sociocultural Eduardo Chillida (Moratalaz)","2","CALLE","ARROYO BELINCOSO","9","MORATALAZ","MEDIA LEGUA","28030","444577","4473403","40.40939173676513","-3.653214777359331","/contenido/actividades/Exposiciones","",
11115527,"Aires de Madrid","","1","0","","","2020-02-14 00:00:00.0","2020-02-14 23:59:00.0","19:00","El Grupo  'Aires de Madrid' presenta un espectáculo de música rociera, rumbas, sevillanas y flamenco.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c66c1b6ccc4ef610VgnVCM2000001f4a900aRCRD","Programa de actividades en el Centro Sociocultural El Greco (Latina)","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e1264b68b893510VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cae2b3e42751c010VgnVCM2000000c205a0aRCRD","Centro Sociocultural El Greco (Latina)","1","CALLE","EL GRECO","29","LATINA","LUCERO","28011","436578","4473235","40.407316328180464","-3.747465416906973","/contenido/actividades/Musica/Flamenco","",
10894835,"Aires flamencos","","1","0","","","2020-02-21 00:00:00.0","2020-02-21 23:59:00.0","19:00","Musical, a cargo de Chema Reyes.       Con más de veinticinco años de experiencia sobre los escenarios, se puede decir que el artista 'Chema Reyes', ha elevado una exitosa trayectoria dentro del mundo de la música.  En su espectáculo se compone de Canción Española, Rumbas , Flamenco y Humor  acompañándolo de guitarra española.    Recomendado para todos los públicos","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=859ce7d17ba09610VgnVCM2000001f4a900aRCRD","Actividades. Centro Sociocultural Rafael de León (Fuencarral - El Pardo). Diciembre 2019","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=50ab7f6682a09610VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e0b1e79ee71c010VgnVCM1000000b205a0aRCRD","Centro Sociocultural Rafael de León (Fuencarral - El Pardo)","1","CALLE","ISLA DE ONS","14","FUENCARRAL-EL PARDO","PEÑA GRANDE","28035","438850","4481314","40.48025613358832","-3.7214686777952974","/contenido/actividades/Musica/Flamenco","",
